date,acquirer,target,value,sector,subsector,importance,source,url,title,status
2026-07-01,Apogee,Kalwall,$115M,Industrials,building products,3,Stock Titan,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOYnl2S3lnYUNuaVZ4ZGw2a0o1S2FCSC0xNk1RNFQ2TFVjMjFJX1A3ZmRtUk1PSDdOYmR6OEp2bTBLWkV2SXp2NDJEb1hYcXA5YnNxWm1BYjFzSFBrcjF0T1JpWGdaeVBxQlNPN3ViLXhwdG42VjVVU19sUHktQjd2dDFVd3ppWkpleGdTTHZVeGZRenB5Z1ZlWTRTY2JiSTlxSEFKbTNjTERGQQ?oc=5,"Apogee closes $115M Kalwall deal, adding daylighting products",closed
2026-07-01,Kroger,Giant Eagle,$1.65 billion,Consumer Staples,food retail,4,grafa.com,https://news.google.com/rss/articles/CBMihwFBVV95cUxNME9HUGdIaTZaN3ZTaHNzUWc1cmFfc0NKT3BDY3J1alJzMHNWSVpCZWFTTEd1RTJDcWZJaEZ3VEU3WXFDY1hFNC1oWFNEWGI0dmxpMlRJSm9BYjljMFVGUTZXdjhrTXRId0NhZVpxS3psbmwzbTBKVVQ0V2NMaC1xVjE5dmROVDQ?oc=5,Kroger agrees $1.65 billion acquisition of Giant Eagle,closed
2026-07-01,Ipsen,Memo Therapeutics,€700 million+,Healthcare,biotech,4,Investors in Healthcare,https://news.google.com/rss/articles/CBMi-wFBVV95cUxQYUU4MGlFSnlwRWFsRV9SSGxVV3pOa09iWTZTczBMWWtjbk5fMTRXcUxfOENxTXFzTkxsTW9kNUpudE13VEFlS0QwaXA1STU5NlNoU2w5NlhoQlBvRHNkUmtPbE1HR19FZHUzcXljTllkcFU5MktpZjk5bnNpenU0MENtcXE2ZldlZTVzcjJKQmp2ZDM0UzJSU3FNVU82N3k4aUt4YUlCUjRMU2lUdjVVU3dGTDc4S1RLRnZiWjNvc2JLM0g1VmRGcDhGN1RjU29LeURiNi10Rk5rbDZYdFZMeUhFTmFPT0diaFpMVTRWRHZPUjFKbW5CaVY2OA?oc=5,Switzerland: Memo Therapeutics to be acquired by Ipsen for a total potential consideration exceeding €700m,closed
2026-07-01,Logicom,Demetra Holdings,,Financials,asset & wealth management,2,Cyprus Mail,https://news.google.com/rss/articles/CBMilgFBVV95cUxNcEFuNGNZSjN4R3F0WnV1clZScVlsWEhOMGk1YWY2Vm52MjQ1S25MUzMtZGZ3NVlQYjdCeEp2blNfd3cwOC1CSnV0cVExUklrUDNkNmpTN0FVb19JbGpLelh1NEdqYzJIQnpDeWRtQUZRSFEwaWw1YnpDUklRR2ZvQkdoemlpQ3ZRc3l1X1dwS0NucEMyT2c?oc=5,Logicom granted exemption from Demetra Holdings takeover,pending
2026-07-01,Public Policy Holding Company,Tancredi,£8.0M,Communications,advertising,1,TradingView,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNeFh0VzFFenJXYTFqcHJUWjAwU0JGSGJMbDNEVXdXTjFRQnNsR25mX2QyNXh3dUY0dl9wdzkwaWowNVNqRnJsTUxDQUhHVE5GbWpST3hJY29keFZjbTZaZGZpalR4ZHNObU80Nm1BRklDVGZCc2I1QVUtVDlLckx4LVF6bDZPZU9MQ05ITmlqQ3g2aG8yZTU5c0tVSmJBYjBldkJqVlp6SDNpRlBmbnZvcXp3dm1Bdm4zMDdTY3M1amN2LTV1OHlLVnNsMmZWWHZ4Rl9WUWpkZTB4dF9keVh1aWZUM1JGZWo5MmRHVg?oc=5,"Public Policy Holding Company completes acquisition of Tancredi for £8.0M, issues 111,948 shares",closed
2026-07-01,,Perpetual,$2.5bn,Financials,asset & wealth management,4,moneymanagement.com.au,https://news.google.com/rss/articles/CBMifkFVX3lxTFB1Sm5iY0J2eVRXYklXR3B4aHlQLUVuYmZtX3pCNGVuWWlOODRRcy1BUm1WR2sydTM1VGZlczl1NkRxa2J1anFHVVNWTVhobEJ6UXhzOXpZcURIcVNwOEFpdFh5Yi1ha0thMlh5dGkyUW44aTk1Rl8zN2ZNMGc3dw?oc=5,Perpetual receives $2.5bn takeover bid,pending
2026-07-01,EQT,Perpetual,$1.7B,Financials,asset & wealth management,3,Bloomberg.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxNZzNtc1Bwc182c29NR1pzVmRQWUo5b2JkUExhXzNFVHc0eDQ5a044azdxam9meERHemxTLUlCYkUtNk1sSC1UMFFGQzhRU1l6WVZxVHVCdUx5VktuYm5VV3Z2SEFoakw0VkIwVEQ0d1Z5THBSWkJaZnhPb1VXNlpFdnFiNVJJQkFxbDFrS1drOXVRQ2pBRVhLNnZiS19MNDNWYjdWcG5PTUtzNVFlak8xRkpZdFhMdw?oc=5,Perpetual Rejects $1.7 Billion Takeover Bid From PE Firm EQT,pending
2026-07-01,Digital Realty,Blackstone's stake in Northern Virginia data centers,$7.8B,Real Estate,data center & infrastructure real estate,5,W.Media,https://news.google.com/rss/articles/CBMirAFBVV95cUxQbHgtX1Y1M0YyeDZZLVQ0QWhESndsOE9EbGhzcjBFTWt4cEpEZGR1TTR5SjAtTlFhbnJZVzg4WkptN2xJbVZ2ejVuWVlNRTJ4dHhIYjZua05qVjJDTEJRQUI3ejZLNjI4YUhwRHNlMkNCc0hwdWt4bzhXbkJCbjdZSVBxX1RtM1RIMWkxd1UyQ3RLQTNUTVBGZm1nR05Xam1HVXViaFoyLWZRMFFP?oc=5,Digital Realty to acquire Blackstone’s stake in Northern Virginia DCs in US$ 7.8 billion deal,closed
2026-07-01,Alcoa,"South32 Bauxite, Alumina, and Aluminum Assets",$4.1B,Materials,metals & mining,4,Pulse 2.0,https://news.google.com/rss/articles/CBMingFBVV95cUxOUXhZTC10aDRjcUZwS1NGSkRYczJRU3RCOHVIUVk3c1VNbkJiaEV5MUlqeGcwT0VvVXNSX1B4Y2FxUXZSdjQ0LVhaOC0tSEV1d1hGUm5ZbGtnbVNNa3RvcWlUWWRaa2JJQ25YdENiUWFfZDlwSHVfbWw0a3lfdEdIOG4xQUNEQXpDVmZSOFVnSVROMlNDTnN5LTItd2lId9IBowFBVV95cUxQLVMyS2hHWVpCZ0oxaXgxbnYwdUJhV3ZkbmVjYURjdEt2ZlFFNWdvaWJibGJURUZQTmJMdDcwcXZqc1FWYy1rYmpHOG9PYkdGSkRiM1hKLTVIUEZKVEFIMGQ0VXdqOGhTWTFpSlc1dGdUM0VjT3lKQ1o1V3ZpZTJjVVZ5eFhkME1PN0xtODItRF84TG1sX0h4N2x2NzEwN2hYSDd3?oc=5,"Alcoa To Acquire South32’s Bauxite, Alumina, And Aluminum Assets For $4.1 Billion",closed
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/717538/000071753826000100/arow-20260701.htm,[8-K] ARROW FINANCIAL CORP  (AROW)  (CIK 0000717538),pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1130713/000114036126027094/ef20077159_8k.htm,"[8-K] BED BATH & BEYOND, INC.  (BBBY, BBBY-WT)  (CIK 0001130713)",pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1633931/000110465926079876/tm2618991d10_8k.htm,"[8-K] QXO Insulation, LLC  (BLD)  (CIK 0001633931)",pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1767837/000110465926079701/tm2619360d1_8k.htm,"[8-K] Richmond Mutual Bancorporation, Inc.  (RMBI)  (CIK 0001767837)",pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1473844/000119312526291511/d116708d8k.htm,"[8-K] Stellar Bancorp, Inc.  (STEL)  (CIK 0001473844)",pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1567925/000114036126027203/ef20077151_8k.htm,"[8-K] Sila Realty Trust, Inc.  (SILA)  (CIK 0001567925)",pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1068851/000119312526291486/d109409d8k.htm,[8-K] PROSPERITY BANCSHARES INC  (PB)  (CIK 0001068851),pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1320414/000110465926079643/tm2619266d7_8k.htm,[8-K] SELECT MEDICAL HOLDINGS CORP  (SEM)  (CIK 0001320414),pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/56873/000110465926079552/tm2619434d1_8k.htm,[8-K] KROGER CO  (KR)  (CIK 0000056873),pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1236275/000110465926079864/tm2618991d7_8k.htm,"[8-K] QXO, Inc.  (QXO, QXO-PB)  (CIK 0001236275)",pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2041610/000110465926079448/tm2610616d6_8k.htm,[8-K] Paramount Skydance Corp  (PSKY)  (CIK 0002041610),pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1549346/000114036126027078/ef20077175_8k.htm,"[8-K] Shutterstock, Inc.  (SSTK)  (CIK 0001549346)",pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/34088/000119312526291986/d70995d8k.htm,[8-K] EXXON MOBIL CORP  (XOM)  (CIK 0000034088),pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1175535/000119312526292533/d103777d8k.htm,[8-K] Whitestone REIT  (WSR)  (CIK 0001175535),pending
2026-07-01,,,,,,2,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1711269/000119312526292566/d917808dex41.htm,"[8-K] Evergy, Inc.  (EVRG)  (CIK 0001711269)",pending
2026-07-01,,Select Medical,$16.50 per share (cash),Healthcare,healthcare providers,3,Stock Titan,https://news.google.com/rss/articles/CBMivgFBVV95cUxOUERoVnp6S0RhQlY1dEdkWlE5Z0wtb3hCcC1famNsR1VudWY4X3FaNkVFMmRvampvLWNzLUZRYWV0cUtxWWFWOGhyWERrYlByQURPcXNOLWNLd0NSRTFadUh0THRCRjdTOXgyMEZja0ZYUHpabXZzYk1EU2l0MnVxUjRJM0F1V3BieWgtc2lnQlQtbGMwV3FBUXZXYVJfMEdaa0xESnlVMGhkdVd2Z3FOM3kyMFhsdmtSa0wwVVBR?oc=5,Director Thomas Scully exits Select Medical (SEM) as all shares convert to $16.50 cash in merger,closed
2026-07-01,Stallion,Select Medical (SEM),$16.50 per share,Healthcare,healthcare providers,3,Stock Titan,https://news.google.com/rss/articles/CBMivgFBVV95cUxQUjZuSk8zT3FsNzVPZ0Rxa19Md2hEQllib3Fia2YtSF85SUd2Y2hwX1ZUblNmNjBuN3ljbkFBU1FfbUZxdHpCcnRNN3ZDazVWTnk3RzJ2RlFyLTRtbzVkdXZZLUhrdkpsejRuTDlJWGdjOGRXYXVZd2RhWEFPRDBEUE10SDJNNTRNRzhWU2l3UlpHdHh3RXg3azZPelVmTzNDR290YUZ4bjdZMF9Bczlxa0xhb1ZZZDRRYUdac1Nn?oc=5,"Select Medical (NYSE: SEM) CFO shifts 238,057 shares into Stallion merger structure",closed
2026-07-01,Acciona,Mostostal,,Industrials,construction & engineering,2,The Corner .eu,https://news.google.com/rss/articles/CBMiywFBVV95cUxPdkhvWWtpdFJkQXlLLTI5ZDVjOGRvdEdaYjRfaDVGckZabTVKU3ZyajhRMjhCd2VXemJ4dTN3bEM3c3VXdzZkNWZHN21iaHp6R1R0dE8xeHdudDJyVzl6UmxYcjhNWXhMTEVZTjJUUF9ubmV4RjBTaUU4WW1SZ3NYUmc4eXQwSEp2ZHpIOVBHVE05ZDc4NzNCVEFRVVRkSnRwbjBHT1prZTdrdFk3R1BHQnpjSU9VbWFYT2hoSDJ6TVBjVkgxNnh4QW5jTQ?oc=5,Acciona considering takeover bid for Polish subsidiary Mostostal to avert risk of bankruptcy,pending
2026-07-01,Cafani,Capricorn Energy,,Energy,exploration & production,2,TipRanks,https://news.google.com/rss/articles/CBMixAFBVV95cUxORkJWdUp5VHVjcXh2VFJlaGlZUW5KV0JKUThYRUp0cVNuZ2JIbXZodlhsajBnWkxmTGhfenF6VDJEZEljbTA1UUd1a0JaQ2d3cTB1azZKdDhOTi1MT2poYXNZZjNEVzRnQjZCU2h5TTJETzlRX1ZvWkRkYVVaT3Q1ZlZfZ0taaDY2LTBCUzQwRjBQZHZSZjdvdzEzYXNNdGNraHY2aFZyNzY0WWcxQ3JpU1RrWDAxRmd6WEI2cFJBamEtRkZ0?oc=5,Capricorn Energy Extends Deadline for Potential Cafani-Backed Takeover Bid,pending
2026-07-01,Audax,Elmera,,Utilities,independent power producers,2,Demócrata,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPVU5tU3M5SG9kcHhDX3BXU3ItOHVoc1R2Z0lpdWpuU2dXYU03cXZVcVoxOEhYdXZUWXV4WHBfUVZsYzV2eWNLUTk2VUxfUjUwSmFXcmRRaHdYRmU4SG5HMHhDd1JFSFpPamxfU1RaMHdJODVMRkNjNTA2T0Jxa216cFNIX0pmb2J1ZzMwMklXdGUyZGwzQ3ZUNVc1UFRzc3YxNWprNFd3RzFuTkdibzdmUGNvUlFFRjZJbEJ1Q256NVVyWUhCb3J6MG5OTUt6RXFsUWZ0amJn0gHbAUFVX3lxTE8tRXVQVWd5T3B5TnpxVHJWWEh2cnhhb0RtZ1pOWEcyLTd2TGplRHlTdS0tUjZ1cVl6UklpaTQyblJvcWszdVpSTEZ6X05VTjlyNE8zV2d1SlFUQTNRNUtKY1pvTnA5MmlrSjRnU3ZIcnNqZUpLcmZ2eWtNcXJKRVZGTlFMZi05cjJGZnp3VjBqQk9DTkpCUThPM1FaR3FXRXlFQ2tEdHd4Smpxc0kyMnZmU0NWSHNJRjZQQ2JfMDhZcFloN21KSmFGTzJ0bDg4NTRqRGJEOUFlaWxHNA?oc=5,Audax claims its takeover bid for Elmera against Fortum and warns that it will not always be available,pending
2026-07-01,NHC,35 senior-care facilities (from NHI),$560M,Healthcare,healthcare providers,4,Stock Titan,https://news.google.com/rss/articles/CBMinwFBVV95cUxObTVpaWIwZUxVcDdMZjBDQUFpbGgtXzVZWE1pRTRnRHJNLU1SRzhndVo0ZnZ6Q3FwcXZkd1ByMzRaZ0RpY3FrX0dEQkFNZHFaNWt2bjFJUkgtV0lWLXZFMWdIZGZjQUVxX3pFY0g2VVNhX0NtSVBJbzgtRl9VZ0x6bnhGUGNpNk1lMlJBWUE2UHdVYlBFM3pUdWgyZ2FEOXM?oc=5,NHC buys 35 senior-care facilities for $560M from NHI,closed
2026-07-01,Private equity (unnamed),Perpetual (remaining assets),,Financials,asset & wealth management,2,AFR,https://news.google.com/rss/articles/CBMirgFBVV95cUxOaDNyNHhJMTdtUlIzUm1xRGdCNVVGMDduQ0lJd0RJcEwtc3g3RkVJYW94ZUZlb2tjWWxWLXptOWtZelJnTVpvTmN3bjFOeDhiLUVBZ1Zpa25PUFR0OTJhdWE3WG9ybW1MdjZhZDBuWU1XWTNOZTFWRS1DMDh2R0hzOG1CTU1SYjNNc0lUeEM0UU5CQ1RON2hOa1d3eUlJV3hxVW9OeExlRkxZbHpTSnc?oc=5,Private equity bigwig comes calling for Perpetual’s leftovers,pending
2026-06-30,Non-Invasive Monitoring Systems,Gravitics,,Technology,hardware,2,TradingView,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNbXJCMHBMSVBldXNaelRmVmpXTWxHMG00ZnVzQmp1WW8zczJaTXR6a2dlVmtOZ2dIVDd6VEs4ZHRPdVZvcTUtakhzRlF2ZEJzbFZBQnA3czlETEEtRlpaNmU4ZHdTYmRCbzNhVHdhSDdIalJueENLcHh5alN6eUwwT2N6eFUxQ21ybGtKcWpISnY4Smo2a2tKVEtTX2lpUlRSRzcxMWpxenByLVJTbm9NX2NCN2N3dTNWOEFleDA3NU5xT2htSlNnMU9TSndzQnkzOWczVWtHLW4ycEkwRlB0RVJfaDNtc2YwUWlv?oc=5,"Non-Invasive Monitoring Systems Amends Gravitics Merger Pact, Extends Outside Termination Date",pending
2026-06-30,Flowserve,Nuclear and Power Plant Valve Business,$490M,Industrials,machinery,3,Stock Titan,https://news.google.com/rss/articles/CBMivwFBVV95cUxNZWd4alVZVkIyRlB6RXhWQ21hcGxkYnk4dGw4a3pkLTFfNXVIOHRxb2hISHdRemktakdvbDNydmhjOGZmRzBmUDBMSjZ1SGszTzRYd3pCV2RPeHFBVGlQeHpSNFZLc2xvM09IaGc4cUxnWTNLZTRVMThNY21YeW4xSUVIdmZFRmZtUUVGNXQ4N3hEYTY4alJobzFrMkxma2E5eGE4RENEUS02a0gwUGhUeU45THZ1MUxCTFhRYjY4TQ?oc=5,Flowserve pays $490M for valves tied to nuclear and power plants,closed
2026-06-30,Plutus Financial,Choco Up,,Financials,fintech,2,Stock Titan,https://news.google.com/rss/articles/CBMivwFBVV95cUxPcTh4TDRoVGRzRTlJUFBJUkk5a2RwLXhuTGZJOEJWMVMwanQxdzg4dFhRNmtaTGhQWmJwSFFXOE9tRTVEYjdTQkp4QmVJT3IwX3FhcEVvYUNFSVhTVlRuUlc2RHFyMDctdUEtRXhjMFJrWUJiTkVJWmt2RHlsdzdPS2p0ME1QTmh0WDRPT0VTX0NMWjFRallkUDU0YlVaMGpubWNhSm5pSldDeTFyZHRZYnBFallNbkphYTVWSmdxSQ?oc=5,"Plutus Financial (PLUT) pushes Choco Up merger Outside Date to Sept. 30, 2026",pending
2026-07-01,CMA CGM,FedEx Supply Chain,$1.4B,Industrials,transportation & logistics,5,Mexico Business News,https://news.google.com/rss/articles/CBMilAFBVV95cUxPWXY0VGFweHdlX1lEZE5TcDRsSGxyVzc3N1FJc0ltSXpIRDR5ZEwwMzkzNHFYZElKU3JqVXRNcGpPTWdRMWRCRnVUR2J2ODUxZFVMeElSMGhXWlVDTlREakUyMW9EdFcybXBReVhiZnRhM25SbHFNb0dqT0Y4MjJIT2tGSXExMDdldmx4WlZGbi1ub2Yz?oc=5,CMA CGM to Acquire FedEx Supply Chain for US$1.4 Billion,closed
2026-06-30,SandRidge Energy,Cherokee Play oil and gas assets,$65M,Energy,exploration & production,2,The Journal Record,https://news.google.com/rss/articles/CBMimAFBVV95cUxNZDVmeG9lVURnY3NlSVZGbnhtMk9wakhsZ3RveUxWR0Ewd0cxUnpSYVE0aV8zeEF0SVp1SmY4SXBEdkxCV0RCZVNTc1F2VlNNaTBBSklLYUZsS0FsX1JSclNtczUya0xNZWZQeko5MWRTSUJ2NEx4ckV4ZUFtUFNiekdscnFGVk1vVmx1Xzc1SmQ0Wld5d25uMw?oc=5,SandRidge to acquire Cherokee Play oil and gas assets for $65M,closed
2026-07-01,,,$3.7B,Communications,media,4,qz.com,https://news.google.com/rss/articles/CBMifEFVX3lxTE1HQ2pfYnBBd0J4bl9DVDZob3hLMXQ1WFEwSG1uWVNXQWhJY2xtVU1yZExpZXVDWDJDRktZWTd4b1hzcEo0d0ItbjVyUC02cTFKN2d3YWRCY1VKaTJnWURUQnhQOUZ3X21YQnllcXZLTUFEMEZoRFB0UGloZmk?oc=5,Getty Images terminates $3.7 billion Shutterstock merger,pending
2026-07-08,Novartis,Myricx Bio,$1.5B,Healthcare,biotech,4,Genetic Engineering and Biotechnology News,https://news.google.com/rss/articles/CBMiywFBVV95cUxQc0preWhQR3NPS2NqZHVtWU9xb3M3QzVaNm1JSGFXdGpWczVhTTJuT3FORExwZHZ4aEtHbGkwaTdLbEUzRVF4TU56UVFmdzF4a2RqTXF1aU1UM2E3Z3F1WmJrdFFTVnRPQmtHcjdDOS1GeXlSWkFEdEMxOGpJbUJRV2pjckxvRnNJLWkxM2otY3VYYzlHaVYtS1pTMHJuVUYycTI4cnRDcjdma1B0RnNBaF9sb0hIQ3FVbTlvdUFMVGtvbFN1WEZEWmpiMA?oc=5,"Novartis to Acquire Myricx Bio for Up to $1.5B, Adding Cancer-Fighting ADC Payload Platform",closed
2026-07-07,MasTec,The Superior Group,$1.65B,Industrials,construction & engineering,4,The Business Journals,https://news.google.com/rss/articles/CBMiogFBVV95cUxOdndYd0FEc3ItczdfYVNRa2NLempWZ2hLbnJhUE9XeXI5U0pDMllpeVZmX01hcFVOTTdBTVlqcVYxRGl0cHlWNjA2Q2hIRUl3TFhrakp3NVRXakNMbk1FYzV0RHpaV3RlaTJRUkxvYVJPMlNuTDFBekI3Y3VXc0JRdy1ySEt5ajR0eFIyLWtEczd6Rlp1LWktOW1PU2xpcVFWcHc?oc=5,MasTec to acquire contractor for $1.65 billion,closed
2026-07-07,Vertex,Crinetics Pharmaceuticals,$10B,Healthcare,pharmaceuticals,5,Genetic Engineering and Biotechnology News,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRkJVYkQxbjNpNHlxUURSV3ZOTDBrZUlZaVhJOVZxUFNGZ19QTDFaTW84VEpIWURfb0N1cldoY05TWXEtX3g3d0tCckxSemRzQTNDR0owM1lFMFlzWkhHa3RLR05pTXQySWNQU3pCbHFnb1Y4WEltNTNOU2FLdFU4YUxfMVdOMHZnZVpUbkJ5WHpUZVF4N2dhTWM4cHdxeVBSb3U1TXdSWEJGTEVSdVZtcVBZaXlLNjgweTJueUJHQ2RZT0QyM2VraG9fekNrRDN3OWc?oc=5,Vertex Eyes Expansion Beyond Cystic Fibrosis with Planned $10B Crinetics Buyout,pending
2026-07-07,,San Martin Silver Mine,$90M,Materials,metals & mining,2,TradingView,https://news.google.com/rss/articles/CBMijgJBVV95cUxONDlvbnYtM0tYSzc3a3YxdW9YTEFHbGNiOXpzLUlVRVFXVzhHYXRROVhSbjJUT0h4b1AzaUQ3QlBaanpEQ3F5MWJ1YnJkUWswdDlBVXlSTTBsX19JVGVVQi1QODZGTThxLUVZamVyanh0WTlDT0RVQU1zaVByWkNxT25HcWZGc1pGUkxYdU84UUR1b0RvZ2hOV1V1d0cxRVljVy1WeEVZaFAxV21KNkNNNC1GdHNyMGNZUllCdWRRdERLd3g2Nm45MTFaX1N2OVBqR25kMXdRU1JuVE12c0VWMFJFM1BiVUI5MmlOVWxNM3pscndhUEo1VHhxUnlvMWk4TVVla3V1Ymp5TmxkVkE?oc=5,First Majestic Enters into Definitive Agreement to Sell its San Martin Silver Mine for Total Proceeds of US$90 Million,closed
2026-07-07,Axia,Plaza Retail REIT,$1.23B,Real Estate,REITs,3,Green Street News,https://news.google.com/rss/articles/CBMimwFBVV95cUxOOFhFRnJPa1ZlU0RWelNwSnM3c3hEUTBaU3BKT1BDREo0RFNDMDg2ZWx0UTlHcEdzczVYWDNZbnhHcVJkZ2hxVVp1ZjFMVjZ1eXZxY3l0ajZlV2dBb21MUERuZ0x6R0NnZE9nWjlSRFdYaS1EWlp1N3dhaXpuU1pQamtvd1Q3aVJwUFZfNVVrM1Z5QmstOFhyamd1TQ?oc=5,Axia makes fresh $1.23bn takeover bid for Plaza Retail REIT,pending
2026-07-07,Emerald HoldCo,Beta Glass (minority shares),N6.9B,Materials,containers & packaging,2,Premium Times Nigeria,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPczZCYi14bTdwd0FlLUtWWDRJcjRjM2ZJdXhjUkQwTEJPbWxZdzJPQnM4X3RLaTRsZnVjVkhReGhUdEliNTNCTTg0OF9tRjExaVBYMng3SE10YXhOc3pfV2VEV1ZWc2k4ZTFGd0wtMi1sWFBSZ2YteTZ4SnhMTnFkMDNWanNfb3Z5WVhMYlI3RUFTcExqbzAwR0VKV3VfX2NaZ2k1cFZFeVZzX2E4QVZ0Y194N2dWeUFHY0VWTU1RZ204NWo2LXNDaUd0bXpOcWtrWWdYSzZWNnh0REU?oc=5,Emerald HoldCo makes N6.9 billion takeover bid for Beta Glass’ minority shares,pending
2026-07-07,Goldgroup,Gold Resource,,Materials,metals & mining,2,Mexico Business News,https://news.google.com/rss/articles/CBMinwFBVV95cUxOUE4zamNpSVJyUkt6OWhyUjRJZG5CMnhqazlCR2JqaThGMVd4VklsNjNOQ1R0WE9Db19rbVg0ajEydlBtbk9SVHRNS1BKWmFEYndZMXlVTFlZQ3BnMDJTeEpLZ1FyRVRCLXdHbGlYUVhudHVaMDNzQzlncTdqWEZuQmtOdGEzeUVsMTF5Y3k1SjNCTHhLdHluT2V2em84S0E?oc=5,"Goldgroup, Gold Resource Merger Approved; July 17 Close Eyed",pending
2026-07-07,Lone Star,ContiTech (Continental),€4bn,Industrials,machinery,4,Alternatives Watch,https://news.google.com/rss/articles/CBMipAFBVV95cUxPa1U0Z0o2VTJnZUIyZERNZHlXODR5aUgxR2dTYmc4SVpvYjlHa09tS0dTWXhuOFFaTi0taVZwOVBKZktGczlzdXU5R2tWMkZvM3hPNjBNVHNtS1JCOVIzWVlobGhYc2ZQYldmNHZTd051TW13WVhyN0Q3SGZWLVRRRUhpWDNNYnlIZ19SOHJkSFRmUDFDR2tlb0N4MGZFUDFLXzJOXw?oc=5,Lone Star to acquire ContiTech from Continental for €4bn,closed
2026-07-07,Equifax,Círculo de Crédito,$750M,Financials,fintech,4,grafa.com,https://news.google.com/rss/articles/CBMingFBVV95cUxQTElBaEdPNzQ5b0xoZnJWM2VGRXBwYVN2UnFmYUlYaDh0cXZLWFpUSTdxMmRFaVhkbTFodDgwbm1UUFRNSTFKVjlvdkpzYVZWSzNoVlVmMW1zVHJENy0zeVgwQUJRZVBERThyblNKSXMtbllTOUlGUmxqWkZ6VDlrd2lEWlJWSWpIUG1LMTJhNnh1R25lZXc0WXpOSVFfUQ?oc=5,Equifax to acquire Círculo de Crédito for $750M,closed
2026-07-07,,British budget carrier,$6.7B,Industrials,airlines,4,The American Bazaar,https://news.google.com/rss/articles/CBMivAFBVV95cUxOSTdtYm1kandLbGFqX3IybVNqdUtNeG1jb0VwbjhFNmtuSlozeXYyV0tZcmY2Yk1UbWl2MHM2RkdrVkp2TndHaUJpNUJaM1RYSXVtd1JEZXQta19fVWVOeGdycThSVkhCaFowdEhjcmpRT3FhNEQtQkNDZXhQVk9ENUMyQTJVcUhVNW5MZ0hvbTFJa0E4YlRyM3pMSWpXMHBFSnlZSU9ScDdnQnpFOVl6OFlkVHVxUUJRd2djTw?oc=5,British budget carrier agrees to a $6.7 billion private equity buyout,closed
2026-07-07,ClearOne,Cortigent (via Vivani Medical),,Healthcare,medical devices,2,TradingView,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQU3FkZzhBX0M2T3drbE15YzNkdFVtMjFoWHFtWmxULWF6bGRDV0JqUWk3TWUtSk9xdUtUU1B0U1JnakdVNUt1c1VjXzlKV0JfNkdsNktOeEZudmE1T1lobWdnU3pWMlVzVDZQVF83SmZ5TlhBM2tlTWNsVUNMQzNWNFM5OUtZdGRhOC1LRklvaXZpclV0QWxMODlsSEwxaDIwYkd4RGdfaFozcE5WeUxsQzIwNlRXYUhhODdiak9yNFZfZHJ1dHBPcDJZbGZlRllKY01aRGpaUnlWR3Nsd1NjOGdWemFKS21UN3llbWI3NmY?oc=5,"Vivani Medical to Merge Cortigent Into ClearOne; Receives 12.5M Shares, Deal Needs $10–15M Financing",pending
